date,volume,turnover,open,high,low,close,change,transaction
2011-09-01,14739.286,4354759440,294.5,300.5,290.0,290.0,-1.5,9969
2011-09-02,12992.455,3799477011,290.0,296.0,288.0,293.5,3.5,8259
2011-09-05,13147.787,3786063130,287.5,291.0,285.0,285.0,-8.5,8478
2011-09-06,19262.495,5338145620,280.0,281.0,273.5,274.0,-11.0,13932
2011-09-07,15515.672,4369173520,280.0,284.0,278.5,282.5,8.5,9656
2011-09-08,11105.623,3148523721,285.0,285.5,281.0,283.5,1.0,7009
2011-09-09,11883.666,3396612144,283.0,289.0,281.5,282.5,-1.0,8431
2011-09-13,8347.711,2368975924,282.0,286.5,281.0,283.5,1.0,6080
2011-09-14,17997.765,5061173052,287.5,291.0,268.0,279.5,-4.0,12996
2011-09-15,20034.031,5877567653,290.0,297.5,287.0,296.5,17.0,13861
2011-09-16,25295.936,7754094096,305.0,312.0,302.0,311.0,14.5,16699
2011-09-19,10734.905,3336260564,309.0,314.5,307.0,309.5,-1.5,7920
2011-09-20,23887.095,7652325939,313.0,328.5,313.0,326.5,17.0,15856
2011-09-21,32914.993,11088353077,336.0,341.0,331.0,339.0,12.5,20132
2011-09-22,22725.317,7705621682,337.0,348.0,331.0,348.0,9.0,14453
2011-09-23,26734.117,8837356408,338.5,339.0,324.0,324.0,-24.0,17873
2011-09-26,18795.619,5874445414,316.0,320.0,306.0,306.0,-18.0,13750
2011-09-27,16125.69,5252785130,326.0,327.0,320.0,327.0,21.0,9530
2011-09-28,15447.725,5097254925,336.0,336.0,322.5,333.0,6.0,10905
2011-09-29,10084.832,3340943560,329.0,335.5,326.5,328.5,-4.5,7313
2011-09-30,10198.328,3410703656,331.0,337.5,330.5,337.5,9.0,7690
