date,volume,turnover,open,high,low,close,change,transaction
2013-04-01,3358.859,1148637419,342.0,344.0,340.5,341.0,-1.0,1950
2013-04-02,8457.567,2938084816,342.5,351.0,341.5,348.0,7.0,5405
2013-04-03,13460.599,4763514546,350.0,358.5,349.0,356.0,8.0,7837
2013-04-08,11193.508,3915962284,351.0,352.0,346.0,350.0,-6.0,6334
2013-04-09,7963.908,2796327392,351.0,353.5,349.0,349.5,-0.5,4477
2013-04-10,7627.614,2678914628,353.0,353.5,349.0,352.5,3.0,4547
2013-04-11,5157.799,1813576949,354.0,354.5,349.5,351.0,-1.5,3454
2013-04-12,4339.706,1507594901,351.0,351.0,345.5,345.5,-5.5,2984
2013-04-15,6110.01,2089086880,345.0,349.0,337.0,337.5,-8.0,3781
2013-04-16,4908.841,1661244843,336.0,342.0,335.5,340.5,3.0,2478
2013-04-17,4701.807,1611559579,341.0,348.0,338.5,347.0,6.5,2968
2013-04-18,3740.845,1296629770,346.0,350.0,343.5,346.0,-1.0,1938
2013-04-19,16260.277,5759919672,349.0,358.0,349.0,358.0,12.0,9358
2013-04-22,14606.93,5313333643,361.0,367.0,361.0,363.0,5.0,8987
2013-04-23,7105.382,2570775812,365.0,365.0,358.0,365.0,2.0,4080
2013-04-24,6698.628,2447566092,368.0,368.0,363.0,365.0,0.0,3965
2013-04-25,4839.16,1753917760,364.0,364.0,360.5,362.0,-3.0,3062
2013-04-26,6550.074,2343642207,361.0,362.0,355.0,355.0,-7.0,4731
2013-04-29,4393.23,1580743800,357.0,361.5,355.5,361.5,6.5,3278
2013-04-30,5468.774,1984294726,363.0,365.5,360.0,360.0,-1.5,3714
