date,volume,turnover,open,high,low,close,change,transaction
2015-04-01,5410.86,2272335420,426.0,426.0,416.5,419.5,-4.0,3114
2015-04-02,10015.03,4150228450,418.5,421.0,409.0,412.0,-7.5,6563
2015-04-07,14746.332,6172420612,412.0,422.5,412.0,421.0,9.0,6144
2015-04-08,8154.587,3431627594,426.5,426.5,418.0,421.0,0.0,4084
2015-04-09,6217.575,2637786430,426.0,427.5,421.0,422.0,1.0,4073
2015-04-10,7576.069,3207417187,429.0,429.0,420.0,421.5,-0.5,4872
2015-04-13,4214.153,1769275815,420.0,422.0,418.0,419.5,-2.0,2518
2015-04-14,8334.755,3475995335,420.0,420.5,414.0,415.0,-4.5,5164
2015-04-15,14709.861,5922740261,410.0,411.0,398.5,398.5,-16.5,9910
2015-04-16,15694.677,6385393310,401.0,409.5,401.0,409.0,10.5,5129
2015-04-17,8433.435,3391940553,404.0,406.0,400.5,401.0,-8.0,4622
2015-04-20,9906.188,3904736012,397.0,401.0,390.0,390.0,-11.0,5898
2015-04-21,8698.771,3416363274,391.0,396.5,391.0,391.0,1.0,5687
2015-04-22,9605.766,3840792322,393.0,404.0,393.0,402.0,11.0,5791
2015-04-23,7141.616,2887239505,404.0,407.5,402.0,403.0,1.0,4979
2015-04-24,15978.162,6673502540,406.0,426.5,406.0,419.0,16.0,9961
2015-04-27,7463.374,3089669588,419.0,424.0,410.0,410.5,-8.5,5398
2015-04-28,10064.137,4057208300,415.0,415.0,398.5,399.0,-11.5,7382
2015-04-29,5136.9,2063221900,401.0,406.0,400.0,400.5,1.5,3956
2015-04-30,9247.831,3658915076,395.0,399.5,393.5,395.0,-5.5,5805
