date,volume,turnover,open,high,low,close,change,transaction
2014-01-02,4014.071,1783155811,445.0,447.5,441.0,441.0,-2.5,2040
2014-01-03,3797.092,1661725541,443.0,443.0,433.0,435.5,-5.5,2559
2014-01-06,3262.604,1418148110,435.5,438.0,431.5,431.5,-4.0,2444
2014-01-07,12243.61,5162336420,430.0,430.5,418.5,418.5,-13.0,8024
2014-01-08,15951.664,6554313610,418.5,418.5,402.0,407.0,-11.5,10869
2014-01-09,9036.19,3722525850,409.0,415.0,407.5,412.0,5.0,6003
2014-01-10,7448.302,3104517454,415.0,419.0,413.0,417.0,5.0,4833
2014-01-13,5248.329,2201252544,420.0,422.0,415.5,415.5,-1.5,3846
2014-01-14,5670.059,2351829044,415.0,417.0,413.0,415.5,0.0,3749
2014-01-15,11038.985,4605938305,415.0,420.0,412.5,419.0,3.5,5392
2014-01-16,5644.2,2368120100,420.0,423.0,417.0,418.0,-1.0,3583
2014-01-17,2522.483,1051125928,418.0,420.0,415.0,415.0,-3.0,1819
2014-01-20,5288.382,2169979002,415.0,417.0,407.0,410.0,-5.0,3949
2014-01-21,17348.374,6811188108,402.0,402.0,386.0,388.0,-22.0,11575
2014-01-22,10353.972,4095603300,385.0,401.0,384.0,399.0,11.0,7326
2014-01-23,5732.393,2308705699,400.0,405.5,400.0,402.0,3.0,4021
2014-01-24,4129.329,1672823903,404.0,407.5,401.0,407.5,5.5,2689
2014-01-27,8016.724,3213365048,403.5,406.5,396.5,400.5,-7.0,5327
