date,volume,turnover,open,high,low,close,change,transaction
2022-09-01,7390.933,4814941577,655.0,661.0,643.0,648.0,-19.0,16299
2022-09-02,10901.94,6885087505,640.0,645.0,620.0,620.0,-28.0,28323
2022-09-05,5910.336,3716454019,616.0,637.0,616.0,631.0,11.0,7528
2022-09-06,4176.482,2636271162,633.0,636.0,627.0,629.0,-2.0,5094
2022-09-07,5355.654,3307014339,620.0,625.0,609.0,619.0,-10.0,10027
2022-09-08,3442.261,2141104520,622.0,626.0,617.0,623.0,4.0,5104
2022-09-12,5127.405,3244893742,634.0,642.0,626.0,627.0,4.0,7154
2022-09-13,4689.244,2948386712,631.0,636.0,625.0,626.0,-1.0,7183
2022-09-14,6259.768,3827891515,603.0,617.0,602.0,615.0,-11.0,10142
2022-09-15,3853.962,2373197309,611.0,620.0,611.0,616.0,1.0,6490
2022-09-16,8391.808,5065647703,607.0,611.0,600.0,600.0,-16.0,17740
2022-09-19,4322.884,2617168057,606.0,611.0,601.0,604.0,4.0,5916
2022-09-20,3254.305,1972905814,607.0,611.0,603.0,605.0,1.0,4313
2022-09-21,4364.075,2645701239,610.0,610.0,601.0,605.0,0.0,5915
2022-09-22,5723.804,3391233925,598.0,600.0,587.0,591.0,-14.0,12780
2022-09-23,4343.315,2536553260,591.0,594.0,580.0,580.0,-11.0,12203
2022-09-26,5278.826,3010560602,573.0,576.0,564.0,569.0,-11.0,12527
2022-09-27,4472.787,2544556730,571.0,574.0,563.0,568.0,-1.0,6226
2022-09-28,7440.529,4142357736,572.0,576.0,545.0,545.0,-23.0,14559
2022-09-29,8115.892,4468973424,558.0,563.0,540.0,543.0,-2.0,9434
2022-09-30,5860.219,3187075770,536.0,554.0,533.0,551.0,8.0,7393
