date,volume,turnover,open,high,low,close,change,transaction
2016-11-01,2594.927,18209604,7.01,7.05,6.96,7.0,-0.01,771
2016-11-02,2063.271,14361006,7.0,7.0,6.93,6.94,-0.06,750
2016-11-03,6946.742,47266675,6.85,6.88,6.76,6.77,-0.17,1662
2016-11-04,4541.431,30693135,6.7,6.83,6.7,6.8,0.03,1073
2016-11-07,5853.099,40349501,6.82,6.96,6.82,6.85,0.05,1079
2016-11-08,8878.088,54777792,6.17,6.17,6.17,6.17,-0.68,1460
2016-11-09,79398.229,451757242,5.73,5.94,5.56,5.56,-0.61,10808
2016-11-10,18474.398,105897932,5.82,5.83,5.67,5.71,0.15,3495
2016-11-11,13432.621,76831726,5.71,5.81,5.59,5.66,-0.05,2796
2016-11-14,26653.81,159002810,5.64,6.11,5.63,6.06,0.4,4952
2016-11-15,9550.667,56921845,6.06,6.06,5.9,5.92,-0.14,2255
2016-11-16,18579.626,114170716,6.12,6.33,6.03,6.03,0.11,4189
2016-11-17,7335.171,44570317,6.1,6.15,6.03,6.05,0.02,1693
2016-11-18,11178.236,68846631,6.11,6.24,6.1,6.11,0.06,2260
2016-11-21,8198.402,49704472,6.12,6.15,6.02,6.04,-0.07,1919
2016-11-22,10512.072,62865628,6.06,6.08,5.94,5.94,-0.1,2345
2016-11-23,17304.823,100092277,5.95,5.96,5.7,5.76,-0.18,3324
2016-11-24,11450.143,65913689,5.76,5.84,5.7,5.7,-0.06,2171
2016-11-25,6091.712,35146762,5.72,5.83,5.72,5.78,0.08,1247
2016-11-28,8754.225,50207049,5.8,5.8,5.71,5.74,-0.04,1643
2016-11-29,5123.071,29473409,5.74,5.79,5.73,5.75,0.01,1129
2016-11-30,9994.854,57256797,5.76,5.79,5.66,5.75,0.0,2367
