date,volume,turnover,open,high,low,close,change,transaction
2020-09-01,55635.589,587406785,10.2,10.95,10.2,10.6,0.5,12235
2020-09-02,34960.862,372314221,10.55,11.05,10.2,11.0,0.4,8007
2020-09-03,30875.172,340872142,10.9,11.3,10.75,11.05,0.05,7285
2020-09-04,31938.203,353772998,10.6,11.5,10.6,11.5,0.45,6795
2020-09-07,44018.134,523148934,11.6,12.3,11.55,11.95,0.45,10972
2020-09-08,41568.12,476578768,11.9,11.9,11.15,11.25,-0.7,9557
2020-09-09,19865.339,219683871,10.95,11.35,10.65,11.3,0.05,4883
2020-09-10,21500.239,238116329,11.45,11.45,10.85,10.95,-0.35,4967
2020-09-11,41200.456,437214262,11.1,11.15,10.15,10.2,-0.75,8551
2020-09-14,25275.774,257206450,10.35,10.55,9.91,10.1,-0.1,5032
2020-09-15,9747.74,98923999,10.3,10.3,10.05,10.2,0.1,2261
2020-09-16,20014.577,197782816,10.2,10.2,9.78,9.81,-0.39,5514
2020-09-17,10147.871,100954843,9.8,10.2,9.8,9.91,0.1,2688
2020-09-18,7133.35,70684606,9.93,9.99,9.86,9.88,-0.03,1860
2020-09-21,8506.581,84259406,9.91,9.99,9.84,9.88,0.0,1875
2020-09-22,14181.673,141351220,10.0,10.05,9.8,9.97,0.09,3535
2020-09-23,16473.35,158850262,9.98,9.98,9.44,9.44,-0.53,4266
2020-09-24,13311.072,122171988,9.35,9.4,9.01,9.01,-0.43,3392
2020-09-25,21580.895,204415432,9.1,9.75,9.1,9.75,0.74,5570
2020-09-28,12090.322,115341948,9.6,9.73,9.3,9.45,-0.3,3209
2020-09-29,9852.087,95048530,9.45,9.82,9.45,9.61,0.16,2295
2020-09-30,6930.755,67003208,9.55,9.82,9.49,9.7,0.09,1596
