date,volume,turnover,open,high,low,close,change,transaction
2015-12-01,19523.79,159969129,8.14,8.3,8.11,8.12,0.02,7061
2015-12-02,10809.056,88594626,8.2,8.3,8.14,8.14,0.02,3806
2015-12-03,13854.93,111857936,8.14,8.14,8.01,8.06,-0.08,4327
2015-12-04,10182.196,81623892,8.0,8.06,7.98,8.01,-0.05,3387
2015-12-07,11070.765,89030270,8.06,8.13,8.0,8.03,0.02,2920
2015-12-08,17036.461,134002144,8.02,8.03,7.8,7.81,-0.22,4133
2015-12-09,17068.739,135613145,7.8,8.07,7.8,8.02,0.21,3591
2015-12-10,8759.289,69976942,8.07,8.11,7.89,7.89,-0.13,2301
2015-12-11,8936.0,70616673,7.93,8.0,7.84,7.84,-0.05,2533
2015-12-14,16435.41,125163370,7.7,7.71,7.52,7.52,-0.32,4195
2015-12-15,10549.411,80031873,7.6,7.66,7.53,7.56,0.04,2920
2015-12-16,13649.373,107906606,7.69,8.05,7.62,7.87,0.31,3396
2015-12-17,17276.862,141419644,8.05,8.35,8.01,8.24,0.37,3934
2015-12-18,10806.937,88590467,8.28,8.3,8.11,8.11,-0.13,2762
2015-12-21,11583.543,95459577,8.09,8.38,8.05,8.35,0.24,3026
2015-12-22,7703.871,63749700,8.36,8.45,8.2,8.23,-0.12,1997
2015-12-23,6100.785,50226822,8.29,8.3,8.17,8.17,-0.06,1727
2015-12-24,17622.436,147450774,8.21,8.47,8.18,8.29,0.12,3561
2015-12-25,22468.391,194144144,8.35,8.78,8.29,8.68,0.39,5008
2015-12-28,18861.447,167530965,8.72,9.1,8.72,8.77,0.09,4571
2015-12-29,13042.228,113176605,8.88,8.88,8.55,8.55,-0.22,3214
2015-12-30,10997.993,95835642,8.68,8.82,8.62,8.67,0.12,2724
2015-12-31,7579.175,66012765,8.74,8.76,8.68,8.69,0.02,1848
