date,volume,turnover,open,high,low,close,change,transaction
2019-06-03,41302.659,541192217,12.8,13.25,12.7,13.2,0.3,6911
2019-06-04,41757.982,547304774,13.15,13.3,12.9,13.0,-0.2,8563
2019-06-05,27276.407,355122110,13.15,13.2,12.9,12.9,-0.1,4473
2019-06-06,32018.239,416978609,12.9,13.1,12.85,13.05,0.15,5756
2019-06-10,28170.17,372734948,13.2,13.3,13.05,13.3,0.25,4557
2019-06-11,32581.26,436354435,13.35,13.45,13.25,13.4,0.1,5838
2019-06-12,30229.283,407344230,13.45,13.55,13.35,13.55,0.15,5747
2019-06-13,70097.271,961593543,13.5,13.95,13.4,13.75,0.2,9493
2019-06-14,28211.15,385520782,13.7,13.75,13.6,13.7,-0.05,5094
2019-06-17,30522.774,419026733,13.7,13.85,13.6,13.65,-0.05,3813
2019-06-18,41290.425,552115934,13.65,13.65,13.25,13.25,-0.4,5492
2019-06-19,48300.373,655544620,13.45,13.65,13.35,13.65,0.4,8471
2019-06-20,38934.573,526279439,13.7,13.75,13.35,13.4,-0.25,7144
2019-06-21,48460.614,661152944,13.55,13.7,13.45,13.7,0.3,7861
2019-06-24,25972.285,355494632,13.55,13.8,13.5,13.75,0.05,4301
2019-06-25,26154.417,359484425,13.75,13.85,13.65,13.7,-0.05,7215
2019-06-26,59484.921,823064474,13.85,13.95,13.75,13.8,0.1,9726
2019-06-27,62428.579,875443406,13.95,14.1,13.9,14.0,0.2,10477
2019-06-28,32353.347,453096884,14.1,14.1,13.85,13.95,-0.05,7131
