date,volume,turnover,open,high,low,close,change,transaction
2010-01-04,30268.635,515087575,17.2,17.2,16.8,17.0,-0.2,5747
2010-01-05,65133.854,1119637425,17.2,17.35,17.05,17.2,0.2,10198
2010-01-06,145046.936,2591783318,17.2,18.4,17.15,18.4,1.2,24535
2010-01-07,137964.451,2586911933,18.6,19.1,18.4,18.4,0.0,24566
2010-01-08,58947.013,1068332609,18.4,18.45,17.85,18.2,-0.2,11053
2010-01-11,108271.047,2020545610,18.3,19.0,18.1,18.6,0.4,16044
2010-01-12,54024.017,993965162,18.6,18.85,18.15,18.35,-0.25,11941
2010-01-13,56187.679,1005175676,18.0,18.0,17.8,17.85,-0.5,10446
2010-01-14,35850.344,632602540,17.85,18.05,17.85,17.95,0.1,6691
2010-01-15,35281.871,633585407,18.0,18.15,17.85,18.0,0.05,7077
2010-01-18,47704.137,848319410,17.8,18.1,17.55,17.85,-0.15,10125
2010-01-19,45751.877,810435563,17.9,18.1,17.55,17.55,-0.3,8789
2010-01-20,65549.113,1172625734,17.8,18.1,17.65,18.1,0.55,10042
2010-01-21,54920.527,992585064,18.1,18.2,17.95,18.0,-0.1,8415
2010-01-22,51483.433,908830028,17.8,17.9,17.5,17.7,-0.3,9019
2010-01-25,50492.358,879354726,17.3,17.6,17.25,17.4,-0.3,7536
2010-01-26,78575.773,1326111568,17.5,17.55,16.4,16.5,-0.9,14949
2010-01-27,48380.668,798631335,16.6,16.6,16.35,16.4,-0.1,7169
2010-01-28,72488.732,1199833315,16.4,16.85,16.4,16.5,0.1,9936
2010-01-29,107483.442,1697406759,16.2,16.2,15.5,16.05,-0.45,17247
