date,volume,turnover,open,high,low,close,change,transaction
2022-12-01,73991.578,3408681596,46.5,46.65,45.6,45.6,-0.2,32319
2022-12-02,54243.64,2453006741,44.8,45.65,44.8,45.5,-0.1,17732
2022-12-05,37514.008,1713329516,45.65,45.9,45.4,45.4,-0.1,15262
2022-12-06,40607.35,1823940539,45.2,45.4,44.5,44.5,-0.9,16462
2022-12-07,75156.56,3307018246,44.0,44.75,43.65,43.65,-0.85,28282
2022-12-08,76939.113,3291819548,43.65,43.7,42.5,42.5,-1.15,34293
2022-12-09,55504.878,2412969179,43.4,43.95,43.05,43.5,1.0,21702
2022-12-12,25807.21,1118703984,43.35,43.65,43.0,43.5,0.0,12616
2022-12-13,54847.262,2408822677,44.0,44.2,43.6,43.8,0.3,18647
2022-12-14,49233.691,2177856534,44.3,44.5,43.95,44.45,0.65,16681
2022-12-15,38519.033,1699063479,44.0,44.45,43.85,44.25,-0.2,17170
2022-12-16,95330.771,4167914409,43.15,44.3,42.95,44.3,0.05,29062
2022-12-19,83550.841,3602209978,43.25,43.5,42.85,42.95,-1.35,29809
2022-12-20,80717.74,3408885926,42.5,42.85,41.85,41.85,-1.1,27734
2022-12-21,56915.825,2394405000,41.95,42.45,41.75,42.0,0.15,19912
2022-12-22,52268.222,2239549660,42.65,43.1,42.5,42.85,0.85,15868
2022-12-23,34060.157,1427254266,41.95,42.15,41.7,41.95,-0.9,15507
2022-12-26,23207.953,970826225,42.0,42.0,41.6,41.9,-0.05,8446
2022-12-27,23436.345,987992103,42.05,42.5,41.85,41.85,-0.05,8633
2022-12-28,52072.157,2133890657,41.5,41.5,40.65,40.8,-1.05,23554
2022-12-29,33389.363,1357271992,40.25,41.05,40.2,40.75,-0.05,12728
2022-12-30,31821.012,1304706366,41.3,41.45,40.7,40.7,-0.05,11431
