date,volume,turnover,open,high,low,close,change,transaction
2010-12-01,19793.515,507124036,25.7,25.9,25.4,25.6,-0.05,4484
2010-12-02,40255.581,1052567183,25.8,26.5,25.6,26.05,0.45,8029
2010-12-03,19783.132,512680227,26.1,26.35,25.45,25.5,-0.55,4781
2010-12-06,21740.139,555524645,25.5,25.85,25.25,25.8,0.3,4284
2010-12-07,9893.188,253617455,25.9,25.9,25.5,25.7,-0.1,2665
2010-12-08,22381.348,574654364,25.85,26.0,25.45,25.5,-0.2,4543
2010-12-09,20026.402,515524868,25.75,26.0,25.55,25.85,0.35,3893
2010-12-10,29331.085,763781510,25.7,26.45,25.55,26.1,0.25,6082
2010-12-13,27764.46,735225172,26.4,26.65,26.25,26.4,0.3,5226
2010-12-14,26916.865,714644792,26.65,26.9,26.15,26.55,0.15,4826
2010-12-15,16357.313,433736802,26.8,26.8,26.3,26.45,-0.1,3751
2010-12-16,27539.509,740696943,26.7,27.2,26.5,27.0,0.55,6183
2010-12-17,19597.97,532838850,27.25,27.4,26.95,26.95,-0.05,4430
2010-12-20,18879.238,504338152,26.95,27.1,26.5,26.65,-0.3,3784
2010-12-21,36062.916,990238494,26.95,28.0,26.7,27.95,1.3,7527
2010-12-22,56433.04,1631498210,27.95,29.5,27.8,29.0,1.05,10603
2010-12-23,24088.944,697399497,29.2,29.5,28.6,28.7,-0.3,5379
2010-12-24,17476.79,501920347,28.6,29.05,28.55,28.65,-0.05,3369
2010-12-27,15094.633,430216283,28.6,28.8,28.1,28.55,-0.1,3356
2010-12-28,14143.26,405876268,28.7,29.0,28.4,28.45,-0.1,2674
2010-12-29,46878.734,1376864085,28.7,30.05,28.7,30.0,1.55,9854
2010-12-30,58590.44,1814322745,30.4,31.8,30.05,30.8,0.8,12273
2010-12-31,24005.648,740570934,31.0,31.5,30.2,30.3,-0.5,5057
