date,volume,turnover,open,high,low,close,change,transaction
2017-03-01,33671.902,504350115,14.6,15.2,14.6,15.0,0.45,7026
2017-03-02,39185.492,604354252,15.3,15.75,15.2,15.3,0.3,7781
2017-03-03,13460.91,203803625,15.3,15.35,15.0,15.15,-0.15,2923
2017-03-06,9997.998,150816401,15.1,15.2,15.0,15.05,-0.1,3458
2017-03-07,11728.354,176669875,15.05,15.35,14.95,15.0,-0.05,2655
2017-03-08,13452.329,201747930,15.1,15.25,14.8,14.9,-0.1,2971
2017-03-09,13285.406,197622235,14.9,15.0,14.75,14.95,0.05,3920
2017-03-10,17299.22,251219059,14.85,14.95,14.4,14.45,-0.5,3232
2017-03-13,12294.393,180120548,14.5,14.85,14.5,14.65,0.2,3496
2017-03-14,8251.432,120515019,14.65,14.8,14.5,14.6,-0.05,1698
2017-03-15,10740.305,156314514,14.55,14.75,14.45,14.5,-0.1,2981
2017-03-16,10137.695,147691941,14.7,14.75,14.45,14.65,0.15,2706
2017-03-17,11908.213,175544795,14.65,14.9,14.6,14.7,0.05,3323
2017-03-20,11226.283,161598979,14.7,14.7,14.3,14.35,-0.35,2558
2017-03-21,17706.767,250109138,14.4,14.45,14.0,14.05,-0.3,4225
2017-03-22,13637.228,190707892,14.0,14.1,13.8,14.0,-0.05,4197
2017-03-23,10125.393,143866008,14.15,14.35,13.95,14.3,0.3,3683
2017-03-24,6300.626,89575236,14.25,14.3,14.1,14.2,-0.1,2832
2017-03-27,8846.635,123584266,14.15,14.15,13.85,13.9,-0.3,2789
2017-03-28,10314.382,142128088,13.9,14.0,13.6,13.8,-0.1,3137
2017-03-29,6522.273,91376213,13.95,14.15,13.9,14.15,0.35,2626
2017-03-30,4961.108,69931554,14.15,14.15,14.0,14.1,-0.05,2267
2017-03-31,4457.73,63021378,14.15,14.2,14.05,14.2,0.1,1730
