date,volume,turnover,open,high,low,close,change,transaction
2022-06-01,67603.736,9689103731,141.5,145.0,141.0,144.5,4.0,26313
2022-06-02,36014.719,5198746244,143.5,145.0,142.5,144.5,0.0,14831
2022-06-06,72086.994,10507320888,146.0,148.0,143.5,143.5,-1.0,29714
2022-06-07,32709.331,4724087026,144.0,145.5,143.0,144.5,1.0,13483
2022-06-08,47545.813,6904381899,145.5,146.5,144.0,145.5,1.0,19165
2022-06-09,115246.943,16187777908,140.0,142.0,139.5,140.0,-5.5,59791
2022-06-10,55948.195,7752430217,138.5,140.0,137.0,139.0,-1.0,28276
2022-06-13,111048.287,14697750663,134.0,134.5,130.0,130.5,-8.5,63339
2022-06-14,105909.358,13751755333,129.0,132.0,128.5,131.5,1.0,42825
2022-06-15,87949.056,11402316772,131.5,132.5,128.0,128.0,-3.5,51324
2022-06-16,195221.433,24048791813,130.0,130.5,119.0,119.5,-8.5,91675
2022-06-17,144637.601,17251841934,118.5,121.0,116.5,119.5,0.0,45646
2022-06-20,212116.937,23954565486,120.0,120.0,108.5,109.5,-10.0,81048
2022-06-21,134478.357,14873326384,112.0,113.0,108.5,110.0,0.5,46999
2022-06-22,263422.716,27561450000,110.0,110.0,101.0,102.0,-8.0,84133
2022-06-23,214981.629,21334974621,102.5,103.5,96.1,96.1,-5.9,96465
2022-06-24,140963.741,14048901671,98.9,102.5,97.6,98.7,2.6,66891
2022-06-27,177736.631,18803759282,102.0,108.5,102.0,108.5,9.8,73072
2022-06-28,263567.315,28362041394,107.5,110.0,104.5,108.5,0.0,87977
2022-06-29,348908.335,32224336489,93.5,95.7,89.0,89.0,0.0,140098
2022-06-30,165915.25,14291200054,88.6,88.7,84.5,84.6,-4.4,85589
