date,volume,turnover,open,high,low,close,change,transaction
2011-10-03,26724.933,1348925819,50.75,51.0,50.15,50.3,-1.35,7241
2011-10-04,19459.519,975289258,49.9,50.75,49.5,50.75,0.45,5075
2011-10-05,13795.531,696382310,50.9,50.95,50.2,50.25,-0.5,3858
2011-10-06,21005.701,1077779812,51.15,51.55,51.0,51.25,1.0,5356
2011-10-07,18355.387,951462753,51.8,52.15,51.5,51.55,0.3,5557
2011-10-11,24633.728,1302666234,52.75,53.0,52.7,53.0,1.45,6578
2011-10-12,10379.445,548499937,52.85,53.1,52.5,52.85,-0.15,3332
2011-10-13,12110.385,640452091,53.2,53.2,52.65,52.8,-0.05,2737
2011-10-14,9843.797,518191057,52.6,52.9,52.45,52.45,-0.35,2315
2011-10-17,12184.723,647427128,53.1,53.45,52.8,53.1,0.65,3377
2011-10-18,18729.818,982604433,52.5,52.7,52.2,52.55,-0.55,3396
2011-10-19,15305.135,804183772,52.6,52.75,52.3,52.35,-0.2,2457
2011-10-20,19221.415,1000528948,52.55,52.65,51.75,51.75,-0.6,4864
2011-10-21,16993.828,879234656,51.8,51.95,51.55,51.95,0.2,3026
2011-10-24,27555.204,1469394216,52.45,53.6,52.45,53.6,1.65,6602
2011-10-25,23610.88,1265806695,53.65,53.7,53.45,53.6,0.0,4519
2011-10-26,24026.648,1242830248,51.6,52.15,51.3,52.15,0.0,5405
2011-10-27,23253.137,1210817761,52.15,52.3,51.75,52.25,0.1,3549
2011-10-28,36429.63,1926724166,53.4,53.45,52.35,52.4,0.15,5670
2011-10-31,16939.65,888578737,52.8,52.95,52.1,52.2,-0.2,3056
