date,volume,turnover,open,high,low,close,change,transaction
2015-05-04,5381.376,383599096,71.45,71.65,70.85,71.6,0.15,1220
2015-05-05,6801.05,483838544,71.4,71.4,70.9,71.2,-0.4,1174
2015-05-06,6603.488,468611056,70.8,71.4,70.5,71.3,0.1,1301
2015-05-07,10204.224,718490164,70.8,70.8,70.15,70.45,-0.85,1945
2015-05-08,5647.296,398589652,70.45,70.65,70.45,70.5,0.05,1082
2015-05-11,11222.257,793547954,71.0,71.2,70.3,70.85,0.35,1986
2015-05-12,9064.022,640522400,70.6,70.85,70.55,70.7,-0.15,1712
2015-05-13,6874.083,488179679,70.7,71.2,70.7,71.1,0.4,1146
2015-05-14,16520.264,1161687961,70.85,70.95,70.0,70.1,-1.0,3256
2015-05-15,11642.867,815422387,70.3,70.35,69.7,70.0,-0.1,2197
2015-05-18,3248.292,227961241,70.05,70.3,70.0,70.25,0.25,950
2015-05-19,8458.272,601702901,70.4,71.45,70.4,71.3,1.05,2147
2015-05-20,7530.606,534194695,71.25,71.25,70.8,70.8,-0.5,1216
2015-05-21,11567.932,809811559,70.15,70.2,69.75,70.15,-0.65,2097
2015-05-22,6152.758,435042013,70.2,70.95,70.2,70.7,0.55,1234
2015-05-25,2391.058,169027182,70.45,70.95,70.3,70.7,0.0,734
2015-05-26,7521.312,535292867,71.2,71.6,70.8,71.0,0.3,1247
2015-05-27,5812.358,413273073,70.85,71.3,70.7,71.15,0.15,974
2015-05-28,5790.144,414080476,71.75,71.9,71.25,71.5,0.35,1285
2015-05-29,4900.148,349371690,71.7,71.7,71.05,71.1,-0.4,1635
