date,volume,turnover,open,high,low,close,change,transaction
2021-10-01,28939.27,3888671030,136.3,136.3,133.65,133.95,-3.1,44143
2021-10-04,24299.469,3240409636,134.7,134.8,132.85,133.15,-0.8,27766
2021-10-05,28469.257,3753464098,132.0,133.0,130.9,132.95,-0.2,36809
2021-10-06,22785.877,3024603640,134.0,134.0,132.0,133.0,0.05,24818
2021-10-07,13826.376,1866323932,134.05,135.6,133.95,135.35,2.35,9745
2021-10-08,7988.089,1075930310,135.65,135.65,133.95,134.2,-1.15,9574
2021-10-12,11588.565,1533572691,132.7,133.15,131.6,132.85,-1.35,16091
2021-10-13,5741.94,761389812,133.4,133.6,132.15,132.4,-0.45,9324
2021-10-14,3441.729,457703545,133.5,133.7,132.5,132.75,0.35,5211
2021-10-15,13728.479,1862428212,134.65,136.35,134.3,136.25,3.5,11985
2021-10-18,5450.752,743028806,136.7,136.9,135.6,135.85,-0.4,6738
2021-10-19,8666.121,1186479700,136.2,137.25,136.05,136.95,1.1,5866
2021-10-20,14674.356,2008846387,137.05,137.3,136.45,136.6,-0.35,11922
2021-10-21,13292.564,1823893063,136.7,137.8,136.1,136.1,-0.5,9180
2021-10-22,5321.361,725081014,136.25,136.75,135.65,136.5,0.4,4657
2021-10-25,7522.325,1022937288,136.0,136.7,135.2,136.4,-0.1,7124
2021-10-26,10797.704,1483480452,136.65,137.75,136.6,137.55,1.15,9789
2021-10-27,7527.789,1031896075,136.95,137.55,136.7,137.55,0.0,5876
2021-10-28,4597.622,630055512,137.45,137.65,136.6,137.15,-0.4,5081
2021-10-29,5145.743,699434063,137.05,137.05,135.35,135.8,-1.35,6484
