date,volume,turnover,open,high,low,close,change,transaction
2015-03-02,6589.376,461349421,70.3,70.55,69.75,70.0,-0.3,1449
2015-03-03,5067.933,353130410,70.05,70.1,69.5,69.9,-0.1,1071
2015-03-04,6414.71,448582000,69.55,70.05,69.5,69.95,0.05,1053
2015-03-05,3761.886,261883714,69.95,70.0,69.35,69.7,-0.25,1037
2015-03-06,3067.298,213689528,69.55,69.9,69.3,69.8,0.1,680
2015-03-09,7464.997,515792426,69.45,69.5,68.9,69.1,-0.7,1781
2015-03-10,6958.375,479061142,69.0,69.05,68.6,68.95,-0.15,1347
2015-03-11,10039.248,689232863,68.35,69.15,68.3,69.05,0.1,1081
2015-03-12,5710.306,396200162,68.85,69.65,68.8,69.65,0.6,1096
2015-03-13,4527.676,315257661,69.65,69.75,69.45,69.45,-0.2,890
2015-03-16,6079.977,420077392,69.35,69.35,68.85,68.9,-0.55,1125
2015-03-17,7096.344,491872167,69.2,69.75,69.0,69.15,0.25,1282
2015-03-18,18621.093,1302008460,69.2,70.15,69.2,69.9,0.75,2655
2015-03-19,12488.588,882632438,70.5,70.9,70.25,70.65,0.75,2611
2015-03-20,4499.069,317484302,70.65,70.65,70.4,70.55,-0.1,1165
2015-03-23,7600.178,537702369,70.55,70.9,70.45,70.75,0.2,1207
2015-03-24,4504.71,317852515,70.55,70.85,70.35,70.5,-0.25,852
2015-03-25,4458.758,313055355,70.5,70.6,70.1,70.25,-0.25,971
2015-03-26,9508.125,659426427,69.4,69.7,69.15,69.4,-0.85,2025
2015-03-27,10014.444,690644936,69.4,69.4,68.65,68.75,-0.65,2367
2015-03-30,10353.567,711624155,68.75,68.9,68.55,68.8,0.05,2088
2015-03-31,7643.034,527392233,69.0,69.25,68.8,69.05,0.25,1735
