date,volume,turnover,open,high,low,close,change,transaction
2022-06-01,32970.903,18171598472,550.0,555.0,548.0,549.0,-11.0,33456
2022-06-02,26063.495,14122936388,544.0,545.0,540.0,540.0,-9.0,30042
2022-06-06,23732.327,12843324209,541.0,544.0,538.0,540.0,0.0,16614
2022-06-07,22152.512,11846386906,535.0,538.0,532.0,535.0,-5.0,28586
2022-06-08,19609.522,10636701303,539.0,545.0,538.0,544.0,9.0,18487
2022-06-09,16894.479,9115934006,538.0,542.0,537.0,541.0,-3.0,18802
2022-06-10,22614.596,12011615014,530.0,533.0,529.0,530.0,-11.0,44802
2022-06-13,36758.925,18998155460,518.0,519.0,515.0,516.0,-14.0,112023
2022-06-14,38838.778,19813036892,507.0,514.0,507.0,513.0,-3.0,85483
2022-06-15,38360.508,19580150319,508.0,515.0,508.0,509.0,-4.0,72687
2022-06-16,31908.028,16331470764,515.0,516.0,507.0,508.0,0.0,42177
2022-06-17,48400.798,24260277915,499.5,503.0,499.0,501.0,-7.0,119618
2022-06-20,36664.463,18267359790,500.0,502.0,495.0,498.0,-3.0,89541
2022-06-21,34432.537,17298234720,501.0,505.0,499.0,505.0,7.0,32427
2022-06-22,33438.921,16630857096,501.0,503.0,494.5,494.5,-10.5,81024
2022-06-23,46808.462,22836692325,492.0,493.5,485.0,485.5,-9.0,104661
2022-06-24,29003.676,14184287155,489.5,492.5,485.5,486.5,1.0,43609
2022-06-27,38684.368,19379396938,496.0,506.0,495.5,498.5,12.0,37438
2022-06-28,16867.955,8392290378,496.0,500.0,496.0,497.5,-1.0,18988
2022-06-29,33124.986,16352376816,496.0,498.5,491.0,491.0,-6.5,40024
2022-06-30,49820.824,23900613642,484.5,486.5,476.0,476.0,-15.0,111117
