date,volume,turnover,open,high,low,close,change,transaction
2011-08-01,41138.861,2984412089,72.0,72.8,72.0,72.6,0.6,9646
2011-08-02,33521.052,2399941256,72.0,72.1,71.2,71.4,-1.2,7851
2011-08-03,46025.696,3226551033,70.1,70.5,69.8,70.1,-1.3,11372
2011-08-04,45103.688,3162508320,69.6,70.7,69.6,70.0,-0.1,10275
2011-08-05,89690.635,6013753980,66.0,68.0,66.0,66.6,-3.4,22333
2011-08-08,97536.001,6426603066,66.0,67.4,64.0,65.2,-1.4,22330
2011-08-09,116036.463,7354968530,62.5,65.1,62.2,63.3,-1.9,25582
2011-08-10,109804.248,7206636534,65.1,67.0,65.0,65.8,2.5,21763
2011-08-11,54377.64,3571174180,64.6,66.8,64.0,66.4,0.6,15680
2011-08-12,64348.977,4253027242,67.2,67.6,65.1,65.1,-1.3,14567
2011-08-15,40240.365,2675866137,66.9,66.9,65.9,66.8,1.7,9150
2011-08-16,39029.009,2585577850,66.8,66.8,66.0,66.0,-0.8,8534
2011-08-17,35881.176,2360049216,66.0,66.2,65.3,65.8,-0.2,8105
2011-08-18,73320.125,4695617230,65.8,65.8,63.3,64.4,-1.4,16649
2011-08-19,49269.207,3119349158,63.1,63.9,63.0,63.9,-0.5,11160
2011-08-22,46371.719,2997433435,63.6,65.5,63.0,65.0,1.1,11040
2011-08-23,46548.145,3093697242,65.0,67.1,65.0,66.8,1.8,13627
2011-08-24,50480.441,3380050126,67.7,67.7,66.4,67.5,0.7,11566
2011-08-25,30883.139,2074112391,67.4,67.6,66.4,67.0,-0.5,8297
2011-08-26,40513.405,2750768446,67.1,68.3,67.0,67.9,0.9,11534
2011-08-29,38635.07,2686589000,68.6,69.9,68.1,69.4,1.5,11936
2011-08-30,33757.478,2332283886,70.3,70.3,68.6,69.0,-0.4,8525
2011-08-31,47789.802,3266971812,69.1,69.4,67.8,69.4,0.4,13887
