date,volume,turnover,open,high,low,close,change,transaction
2015-10-01,5541.83,121652052,21.15,22.7,21.1,22.7,2.0,2696
2015-10-02,3232.69,71598342,22.65,22.65,21.9,22.05,-0.65,2027
2015-10-05,1800.593,39804320,22.25,22.35,21.9,22.2,0.15,1020
2015-10-06,2994.664,67586122,22.4,22.8,22.3,22.5,0.3,1785
2015-10-07,2550.215,56973208,22.5,22.7,21.95,22.7,0.2,1620
2015-10-08,2996.811,68274910,22.7,23.0,22.4,22.95,0.25,1554
2015-10-12,4523.294,103662841,22.95,23.2,22.7,22.75,-0.2,2690
2015-10-13,3691.128,82285132,22.7,22.75,22.1,22.15,-0.6,2163
2015-10-14,3247.499,72900376,22.2,22.75,22.1,22.4,0.25,1739
2015-10-15,2041.09,45915805,22.6,22.7,22.3,22.3,-0.1,1424
2015-10-16,5631.519,123794857,22.4,22.5,21.65,21.65,-0.65,2377
2015-10-19,3855.602,86008945,21.85,22.85,21.85,22.5,0.85,2099
2015-10-20,2344.5,52542173,22.5,22.6,22.2,22.45,-0.05,1529
2015-10-21,3048.301,69383721,22.9,23.25,22.5,22.5,0.05,1948
2015-10-22,5374.35,120700784,22.5,22.9,22.1,22.25,-0.25,2548
2015-10-23,5215.631,115255432,22.35,22.45,21.95,21.95,-0.3,2553
2015-10-26,2450.401,53773429,22.15,22.25,21.85,21.9,-0.05,1407
2015-10-27,3901.717,84087757,21.75,21.9,21.3,21.3,-0.6,2126
2015-10-28,3310.188,70866741,21.35,21.75,21.25,21.25,-0.05,1822
2015-10-29,4214.867,89324434,21.35,21.5,21.0,21.3,0.05,1861
2015-10-30,3004.22,64303557,21.3,21.65,21.05,21.55,0.25,1579
