date,volume,turnover,open,high,low,close,change,transaction
2017-03-01,9345.034,180494090,19.0,19.55,19.0,19.15,0.3,2798
2017-03-02,8247.426,159501644,19.5,19.7,19.0,19.0,-0.15,2358
2017-03-03,4005.302,74997335,19.0,19.1,18.55,18.65,-0.35,1310
2017-03-06,2275.475,42534557,18.8,18.85,18.5,18.65,0.0,844
2017-03-07,2671.05,50551036,18.8,19.1,18.75,18.85,0.2,929
2017-03-08,3465.166,66189504,19.1,19.35,18.95,19.0,0.15,1106
2017-03-09,4274.826,79690767,19.1,19.1,18.5,18.5,-0.5,1341
2017-03-10,3837.882,69502042,18.5,18.5,17.85,18.25,-0.25,1596
2017-03-13,2177.667,39712619,18.25,18.4,18.1,18.1,-0.15,924
2017-03-14,2297.055,41804392,18.1,18.35,18.1,18.25,0.15,1058
2017-03-15,2184.161,39438135,18.25,18.3,17.95,17.95,-0.3,1071
2017-03-16,2069.688,37277834,18.05,18.2,17.9,18.05,0.1,811
2017-03-17,4993.234,90363168,18.15,18.2,18.0,18.1,0.05,901
2017-03-20,2119.054,38064309,18.25,18.25,17.9,17.9,-0.2,804
2017-03-21,2135.392,38187893,17.9,17.95,17.85,17.9,0.0,872
2017-03-22,1492.322,26707144,17.85,18.1,17.8,18.1,0.2,610
2017-03-23,1730.673,31061925,18.1,18.15,17.85,17.9,-0.2,767
2017-03-24,3365.39,59754274,17.9,17.95,17.65,17.65,-0.25,1178
2017-03-27,3684.565,64365447,17.65,17.65,17.3,17.35,-0.3,1108
2017-03-28,2987.279,52106495,17.35,17.6,17.3,17.55,0.2,911
2017-03-29,2096.496,37259378,17.65,17.9,17.55,17.9,0.35,905
2017-03-30,1105.854,19840773,18.0,18.05,17.85,18.0,0.1,516
2017-03-31,2243.924,39749407,17.9,18.0,17.6,17.6,-0.4,742
