date,volume,turnover,open,high,low,close,change,transaction
2022-04-01,13009.716,2064436363,156.5,161.0,155.5,160.0,1.5,7619
2022-04-06,13153.219,2039609173,157.0,157.5,153.0,156.0,-4.0,9101
2022-04-07,18247.841,2772727117,153.5,155.5,148.0,149.5,-6.5,12578
2022-04-08,14705.838,2268411991,152.0,156.0,152.0,154.0,4.5,9151
2022-04-11,14110.247,2169910416,155.0,157.5,151.0,151.5,-2.5,8587
2022-04-12,20753.286,3119219358,153.5,154.0,147.0,153.0,1.5,12017
2022-04-13,18412.124,2886068545,156.0,158.0,154.5,158.0,5.0,10612
2022-04-14,12629.423,1982584610,159.0,160.0,154.5,154.5,-3.5,8002
2022-04-15,12151.957,1887470369,153.0,157.0,153.0,155.0,0.5,7329
2022-04-18,10779.254,1635434007,154.0,154.5,150.5,151.0,-4.0,7706
2022-04-19,10984.848,1707969054,153.0,157.0,152.5,156.0,5.0,6154
2022-04-20,14172.378,2217570884,159.0,159.0,154.5,155.5,-0.5,8141
2022-04-21,14906.533,2356848781,157.0,159.5,157.0,157.5,2.0,8397
2022-04-22,13924.037,2175143530,156.0,158.0,154.0,156.0,-1.5,8457
2022-04-25,18652.01,2788880961,152.0,153.5,148.0,148.0,-8.0,10980
2022-04-26,13358.849,1972928416,150.5,151.5,145.0,145.0,-3.0,8314
2022-04-27,17423.371,2485381052,140.0,146.0,138.5,144.0,-1.0,10217
2022-04-28,12709.838,1828418857,147.0,147.5,141.0,142.0,-2.0,9825
2022-04-29,15820.711,2314418042,144.0,148.5,143.5,146.0,4.0,9445
