date,volume,turnover,open,high,low,close,change,transaction
2018-11-01,318.257,4821005,15.2,15.25,15.05,15.15,0.05,173
2018-11-02,327.96,4994838,15.2,15.3,15.2,15.2,0.05,203
2018-11-05,239.798,3647068,15.2,15.3,15.15,15.25,0.05,146
2018-11-06,410.577,6327135,15.35,15.5,15.3,15.35,0.1,206
2018-11-07,402.519,6188014,15.35,15.45,15.3,15.3,-0.05,301
2018-11-08,435.899,6680559,15.4,15.45,15.2,15.3,0.0,178
2018-11-09,433.952,6575869,15.3,15.3,15.05,15.15,-0.15,220
2018-11-12,308.584,4686168,15.15,15.2,15.15,15.2,0.05,165
2018-11-13,603.381,9212495,15.2,15.4,15.15,15.3,0.1,293
2018-11-14,812.973,12548282,15.3,15.55,15.3,15.35,0.05,451
2018-11-15,479.771,7430233,15.35,15.55,15.35,15.45,0.1,207
2018-11-16,497.012,7729287,15.55,15.6,15.5,15.55,0.1,278
2018-11-19,297.619,4638173,15.6,15.65,15.55,15.55,0.0,213
2018-11-20,218.291,3391404,15.6,15.6,15.5,15.5,-0.05,135
2018-11-21,510.988,7900562,15.5,15.55,15.4,15.5,0.0,170
2018-11-22,311.793,4821860,15.5,15.6,15.4,15.45,-0.05,182
2018-11-23,333.086,5111955,15.45,15.45,15.3,15.3,-0.15,160
2018-11-26,781.6,12209368,15.5,15.75,15.5,15.7,0.4,416
2018-11-27,316.156,4958419,15.8,15.8,15.6,15.7,0.0,172
2018-11-28,1357.659,21688709,15.8,16.15,15.65,16.0,0.3,659
2018-11-29,368.5,5917174,16.15,16.2,16.0,16.0,0.0,216
2018-11-30,888.299,14205034,15.95,16.1,15.9,15.9,-0.1,366
