date,volume,turnover,open,high,low,close,change,transaction
2019-02-11,584.022,9234544,15.75,15.9,15.7,15.9,0.15,286
2019-02-12,526.439,8397655,15.95,16.05,15.85,15.95,0.05,218
2019-02-13,572.238,9155908,15.95,16.05,15.95,16.05,0.1,177
2019-02-14,1607.799,25775584,16.05,16.1,15.9,16.1,0.05,251
2019-02-15,494.0,7955250,16.1,16.15,16.05,16.1,0.0,145
2019-02-18,1045.356,16896546,16.15,16.25,16.05,16.2,0.1,332
2019-02-19,370.499,6016882,16.25,16.3,16.15,16.25,0.05,218
2019-02-20,555.678,9031363,16.25,16.35,16.2,16.3,0.05,379
2019-02-21,981.464,16047706,16.35,16.45,16.2,16.4,0.1,481
2019-02-22,323.789,5272729,16.4,16.4,16.25,16.25,-0.15,169
2019-02-25,894.648,14481481,16.25,16.25,16.1,16.2,-0.05,443
2019-02-26,247.249,4023182,16.2,16.35,16.2,16.25,0.05,134
2019-02-27,1384.2,22179438,16.1,16.15,15.95,15.95,-0.3,446
