date,volume,turnover,open,high,low,close,change,transaction
2020-02-03,2778.382,46469394,16.8,17.05,16.55,17.05,0.05,918
2020-02-04,2607.923,44165991,17.05,17.05,16.8,16.95,-0.1,971
2020-02-05,1332.227,22748109,17.0,17.2,16.95,17.05,0.1,487
2020-02-06,1322.314,22805930,17.15,17.45,17.1,17.3,0.25,459
2020-02-07,1435.352,24607499,17.25,17.25,17.05,17.1,-0.2,448
2020-02-10,1907.782,32365001,17.0,17.1,16.85,16.9,-0.2,562
2020-02-11,919.819,15554299,16.9,17.0,16.8,16.95,0.05,380
2020-02-12,1119.886,19056505,16.9,17.1,16.9,17.05,0.1,459
2020-02-13,1987.841,33994769,17.05,17.2,17.0,17.15,0.1,704
2020-02-14,1236.22,21252872,17.15,17.25,17.15,17.15,0.0,354
2020-02-17,1766.25,30470673,17.15,17.35,17.15,17.3,0.15,857
2020-02-18,1410.8,24621738,17.25,17.6,17.2,17.55,0.25,530
2020-02-19,1891.455,33290216,17.55,17.75,17.45,17.5,-0.05,824
2020-02-20,1097.366,19295690,17.5,17.65,17.5,17.6,0.1,388
2020-02-21,1282.714,22554929,17.6,17.7,17.5,17.55,-0.05,470
2020-02-24,1487.48,25796351,17.3,17.45,17.2,17.25,-0.3,453
2020-02-25,1450.295,25002144,17.0,17.55,17.0,17.4,0.15,548
2020-02-26,681.857,11917896,17.4,17.55,17.25,17.5,0.1,254
2020-02-27,1222.356,21292290,17.6,17.6,17.3,17.35,-0.15,650
