date,volume,turnover,open,high,low,close,change,transaction
2015-12-01,9531.592,948611188,99.7,100.0,98.6,99.9,0.1,4764
2015-12-02,4566.704,454601530,99.5,99.9,99.1,99.1,-0.8,2997
2015-12-03,6534.927,647103149,98.6,99.4,98.6,98.7,-0.4,3177
2015-12-04,6874.476,679793724,98.8,99.1,98.5,99.0,0.3,3794
2015-12-07,7041.366,698484934,99.0,99.9,98.9,99.0,0.0,3335
2015-12-08,10315.161,1016736184,99.0,99.0,98.3,98.6,-0.4,3566
2015-12-09,7403.495,728186783,98.5,98.7,98.1,98.4,-0.2,3806
2015-12-10,10051.1,986049734,98.1,98.5,97.8,98.5,0.1,4680
2015-12-11,8660.385,851033805,98.0,98.7,98.0,98.0,-0.5,3994
2015-12-14,7782.415,761205823,97.8,98.0,97.6,97.8,-0.2,3528
2015-12-15,6224.175,610130131,98.5,98.5,97.9,98.0,0.2,2467
2015-12-16,4257.773,417846625,99.0,99.0,98.0,98.0,0.0,2292
2015-12-17,4050.532,398148385,98.3,98.8,98.0,98.4,0.4,1979
2015-12-18,7400.608,729049430,98.6,98.8,98.4,98.5,0.1,2329
2015-12-21,5990.288,589516256,98.4,98.9,98.2,98.2,-0.3,2468
2015-12-22,9426.23,933376483,98.8,99.4,98.5,99.4,1.2,4689
2015-12-23,6443.531,640427556,99.4,99.5,99.1,99.4,0.0,2945
2015-12-24,4177.053,415387334,99.5,99.5,99.1,99.4,0.0,1692
2015-12-25,2036.742,202558703,99.4,99.5,99.3,99.5,0.1,913
2015-12-28,4312.929,428848340,99.5,99.5,99.2,99.5,0.0,1716
2015-12-29,3269.896,324703204,99.4,99.5,99.0,99.0,-0.5,1620
2015-12-30,4372.807,433730593,99.2,99.4,99.0,99.1,0.1,1812
2015-12-31,4203.228,417375269,99.1,99.5,99.0,99.1,0.0,1588
