date,volume,turnover,open,high,low,close,change,transaction
2011-09-01,20042.463,2003884800,100.5,101.0,99.4,100.0,0.1,6410
2011-09-02,11007.46,1095121700,100.5,100.5,99.1,99.5,-0.5,4408
2011-09-05,10797.347,1067334477,99.0,99.3,98.5,98.8,-0.7,4729
2011-09-06,12023.199,1186756901,98.9,99.6,98.1,98.2,-0.6,5826
2011-09-07,8869.025,882234857,98.2,100.5,98.2,100.5,2.3,3982
2011-09-08,7508.124,748514190,100.0,100.5,99.3,99.6,-0.9,3493
2011-09-09,7931.24,793996400,99.5,101.0,99.5,100.0,0.4,3968
2011-09-13,11968.053,1194299313,100.0,100.5,99.2,99.6,-0.4,3696
2011-09-14,14052.437,1404637415,100.0,100.5,99.6,99.8,0.2,5621
2011-09-15,12869.74,1289780700,100.0,101.0,99.8,100.5,0.7,4773
2011-09-16,11342.254,1144701473,101.5,101.5,100.5,100.5,0.0,4203
2011-09-19,7556.84,755168900,100.5,101.0,99.6,100.0,-0.5,2894
2011-09-20,11896.613,1186230900,100.5,100.5,99.3,99.8,-0.2,4711
2011-09-21,17269.611,1715360334,100.5,100.5,99.0,99.0,-0.8,5803
2011-09-22,18373.669,1807139531,98.5,99.3,97.5,98.5,-0.5,7107
2011-09-23,27352.576,2673825168,98.0,98.4,96.8,97.7,-0.8,9698
2011-09-26,15282.195,1502355632,97.7,98.9,97.0,98.5,0.8,6176
2011-09-27,15931.493,1583851369,98.7,99.8,98.5,99.8,1.3,6315
2011-09-28,15983.513,1595369100,99.8,100.5,99.2,100.5,0.7,6747
2011-09-29,13138.187,1319846945,100.0,101.0,99.8,101.0,0.5,4987
2011-09-30,19978.342,2012743542,101.0,101.5,100.0,101.5,0.5,6330
