date,volume,turnover,open,high,low,close,change,transaction
2014-02-05,33421.581,3024770362,90.4,90.9,89.8,90.3,-1.6,16816
2014-02-06,18056.46,1633193660,90.3,90.7,90.3,90.3,0.0,10214
2014-02-07,12124.518,1096308738,90.5,90.6,90.3,90.4,0.1,7327
2014-02-10,10987.685,992991335,90.4,90.5,90.3,90.3,-0.1,6356
2014-02-11,10256.42,924775923,90.3,90.4,90.1,90.1,-0.2,5636
2014-02-12,7454.556,673330796,90.3,90.7,90.2,90.7,0.6,3655
2014-02-13,3703.166,335956006,90.7,91.0,90.4,90.7,0.0,2395
2014-02-14,6597.934,601311039,90.7,91.5,90.7,91.2,0.5,3542
2014-02-17,4719.063,430465431,91.3,91.4,91.0,91.2,0.0,2581
2014-02-18,2728.895,249190554,91.2,91.5,91.1,91.3,0.1,1580
2014-02-19,4596.571,421243423,91.3,91.8,91.3,91.8,0.5,2393
2014-02-20,6130.896,560215698,91.8,91.8,91.2,91.3,-0.5,3311
2014-02-21,7029.853,642389466,91.3,91.8,91.1,91.7,0.4,3577
2014-02-24,3976.35,363972574,91.6,91.8,91.3,91.8,0.1,1846
2014-02-25,5239.043,479798903,91.4,91.8,91.4,91.4,-0.4,2363
2014-02-26,4680.858,428378151,91.4,91.8,91.0,91.4,0.0,2441
2014-02-27,6192.669,567704948,91.4,92.0,91.3,92.0,0.6,2491
