date,volume,turnover,open,high,low,close,change,transaction
2019-12-02,31236.074,2746751820,88.6,89.3,86.8,88.6,0.1,14896
2019-12-03,34645.279,3100405770,88.3,90.3,87.8,90.0,1.4,14042
2019-12-04,26034.634,2322526955,90.0,90.0,88.7,89.5,-0.5,9926
2019-12-05,19851.813,1788613637,90.0,90.7,89.6,89.9,0.4,9419
2019-12-06,20657.992,1864481080,90.6,90.9,89.7,90.5,0.6,10122
2019-12-09,39013.354,3554471708,90.8,91.7,90.3,91.0,0.5,16974
2019-12-10,14192.519,1282178710,90.5,90.8,90.1,90.3,-0.7,6932
2019-12-11,32362.218,2944889438,90.5,91.3,90.4,91.3,1.0,14049
2019-12-12,32664.18,2991238892,92.0,92.2,91.0,91.0,-0.3,13263
2019-12-13,33488.249,3060261787,92.0,92.0,90.9,91.0,0.0,15711
2019-12-16,34055.107,3121729569,91.5,92.4,91.1,91.6,0.6,14433
2019-12-17,31166.098,2846439695,91.8,91.9,91.1,91.6,0.0,12212
2019-12-18,58840.462,5427958104,91.6,92.8,91.1,92.4,0.8,24632
2019-12-19,28904.382,2653486845,92.0,92.2,91.3,92.2,-0.2,11949
2019-12-20,39064.336,3573523990,92.5,92.6,91.1,91.1,-1.1,11011
2019-12-23,17511.564,1595581554,91.3,91.7,90.7,91.5,0.4,8301
2019-12-24,11775.451,1072386883,91.5,91.5,90.8,90.9,-0.6,5935
2019-12-25,11310.473,1029248360,91.1,91.3,90.8,91.0,0.1,6353
2019-12-26,10097.183,917789491,91.0,91.3,90.7,90.8,-0.2,5517
2019-12-27,20188.995,1848289316,91.4,91.9,91.1,91.5,0.7,8406
2019-12-30,15811.376,1442350252,91.6,91.8,90.9,90.9,-0.6,6646
2019-12-31,14491.239,1317119661,90.7,91.4,90.7,90.8,-0.1,6530
