date,volume,turnover,open,high,low,close,change,transaction
2016-04-01,32984.173,2754116470,84.1,84.6,83.0,83.0,-1.8,13665
2016-04-06,42845.227,3499983755,83.2,83.2,81.2,81.2,-1.8,17634
2016-04-07,27719.716,2248151825,81.0,81.9,80.3,81.5,0.3,11752
2016-04-08,19158.544,1560952644,81.1,81.9,80.9,81.9,0.4,6839
2016-04-11,11172.615,908969169,81.8,81.9,80.7,81.2,-0.7,5228
2016-04-12,15336.442,1257932644,81.8,82.6,81.2,82.0,0.8,8689
2016-04-13,34118.996,2844118702,82.3,83.8,82.3,83.7,1.7,12866
2016-04-14,23561.652,1952127136,83.0,83.8,82.4,82.4,-1.3,9315
2016-04-15,18495.433,1528138072,82.2,83.2,81.7,82.9,0.5,7862
2016-04-18,14088.317,1167142576,83.2,83.2,82.5,82.6,-0.3,6180
2016-04-19,18744.362,1537015121,82.8,83.3,81.2,81.5,-1.1,8284
2016-04-20,51459.224,4124103890,81.1,82.4,79.2,79.2,-2.3,24792
2016-04-21,20871.346,1671359076,79.8,80.5,79.5,80.3,1.1,10099
2016-04-22,17410.609,1407072129,81.1,81.1,80.3,81.0,0.7,7229
2016-04-25,14003.524,1128851414,81.1,81.4,80.2,80.3,-0.7,5789
2016-04-26,18296.084,1473987563,80.0,81.2,80.0,80.2,-0.1,6294
2016-04-27,25054.153,1996661601,79.9,80.2,79.3,79.5,-0.7,8560
2016-04-28,30085.745,2383149655,80.0,80.2,78.6,78.6,-0.9,11396
2016-04-29,38516.302,2976891928,77.1,77.7,77.1,77.1,-1.5,16551
