date,volume,turnover,open,high,low,close,change,transaction
2011-01-03,14930.27,1751928590,118.0,118.0,117.0,117.5,0.0,6432
2011-01-04,25370.452,2995369009,118.0,119.0,117.5,117.5,0.0,9912
2011-01-05,29439.287,3402168255,117.5,118.0,114.0,114.5,-3.0,11156
2011-01-06,18471.341,2113306215,114.5,115.0,114.0,114.5,0.0,6899
2011-01-07,17206.955,1962771291,114.5,115.5,113.0,114.0,-0.5,6981
2011-01-10,12554.073,1421154322,114.5,114.5,112.5,113.5,-0.5,6050
2011-01-11,26096.416,3013388480,114.5,116.5,114.0,116.0,2.5,10971
2011-01-12,14365.65,1670879400,116.5,117.0,115.5,116.0,0.0,6935
2011-01-13,23531.718,2743290288,116.5,117.0,115.5,117.0,1.0,8501
2011-01-14,11335.074,1320824575,117.0,117.0,116.0,117.0,0.0,5284
2011-01-17,10551.295,1219034925,117.0,117.0,115.0,115.0,-2.0,5090
2011-01-18,14797.82,1695032300,114.0,115.0,114.0,115.0,0.0,6861
2011-01-19,19337.292,2249210372,116.0,117.0,115.0,117.0,2.0,8925
2011-01-20,31822.17,3728479840,117.0,118.0,116.0,117.5,0.5,12219
2011-01-21,18605.253,2159649644,117.0,117.5,115.5,115.5,-2.0,6725
2011-01-24,8356.181,966162846,116.0,116.0,115.0,116.0,0.5,3732
2011-01-25,20918.405,2419123702,117.0,117.0,116.0,116.5,0.5,7809
2011-01-26,79440.012,9471099738,117.0,121.0,116.5,120.5,4.0,34618
2011-01-27,105944.479,13157550727,123.0,126.0,123.0,124.0,3.5,42034
2011-01-28,58188.377,7242392388,125.0,125.5,123.0,125.0,1.0,22149
