date,volume,turnover,open,high,low,close,change,transaction
2018-11-01,27825.014,2210830961,79.0,80.0,78.7,79.9,1.1,14064
2018-11-02,36586.756,2936829536,79.7,81.6,78.7,81.0,1.1,15057
2018-11-05,22500.657,1803389760,81.0,81.0,79.5,80.0,-1.0,9822
2018-11-06,27208.925,2126849941,79.5,79.6,77.1,77.3,-2.7,12329
2018-11-07,23857.091,1858258498,78.4,78.4,77.4,77.9,0.6,8606
2018-11-08,30437.462,2350023974,78.2,78.4,76.6,76.6,-1.3,13422
2018-11-09,29900.195,2272315726,76.5,76.6,75.5,76.1,-0.5,12313
2018-11-12,22024.466,1679299499,75.9,76.9,75.8,76.2,0.1,7775
2018-11-13,31659.718,2355103546,74.4,74.8,73.8,74.4,-1.8,12266
2018-11-14,35175.438,2598272789,74.6,74.7,73.0,73.3,-1.1,15801
2018-11-15,37827.181,2781986697,73.3,75.4,72.5,74.5,1.2,15743
2018-11-16,23952.773,1779188408,74.9,75.0,73.8,74.3,-0.2,9336
2018-11-19,29570.164,2170532689,73.7,73.8,73.1,73.4,-0.9,12196
2018-11-20,41385.804,2960763006,72.0,72.7,71.0,71.0,-2.4,21043
2018-11-21,43288.083,3021077277,69.0,70.9,68.9,70.6,-0.4,20770
2018-11-22,34033.087,2380220840,70.6,71.0,69.4,69.5,-1.1,16757
2018-11-23,23607.145,1653629295,69.9,70.4,69.6,70.0,0.5,10747
2018-11-26,25629.931,1820699986,71.3,71.5,70.6,71.0,1.0,11579
2018-11-27,24442.315,1723970365,71.0,71.0,70.1,70.7,-0.3,10507
2018-11-28,48699.161,3524192489,71.0,73.4,71.0,73.1,2.4,19916
2018-11-29,44209.607,3248333815,74.4,74.5,72.4,72.4,-0.7,16789
2018-11-30,79512.359,5770124397,72.6,73.9,71.9,71.9,-0.5,16857
