date,volume,turnover,open,high,low,close,change,transaction
2011-08-01,40738.615,3447545223,82.8,85.5,82.8,85.0,2.7,17897
2011-08-02,23492.499,1960100116,84.5,84.5,82.8,83.2,-1.8,11719
2011-08-03,59113.137,4762596167,81.8,81.9,80.0,80.6,-2.6,27674
2011-08-04,44449.166,3543288714,80.5,81.3,78.5,78.5,-2.1,22639
2011-08-05,71956.116,5299387502,73.1,74.8,73.1,73.1,-5.4,31565
2011-08-08,67032.358,4870879546,73.5,75.3,70.0,71.2,-1.9,27088
2011-08-09,104337.101,7292557141,68.3,74.7,67.5,71.0,-0.2,40476
2011-08-10,70674.373,5193601649,74.1,74.3,72.6,73.7,2.7,29897
2011-08-11,41020.464,3013027257,72.6,75.1,71.5,73.7,0.0,19522
2011-08-12,42268.117,3117373054,74.9,75.0,72.9,72.9,-0.8,19108
2011-08-15,22217.379,1656039225,74.7,74.9,74.0,74.7,1.8,10066
2011-08-16,22524.211,1677545572,75.0,75.5,73.8,74.2,-0.5,10748
2011-08-17,40359.827,3017578349,74.6,75.9,73.6,74.1,-0.1,18315
2011-08-18,60494.883,4357078106,73.8,73.8,71.2,71.8,-2.3,22419
2011-08-19,85983.689,5886762100,69.2,69.8,67.3,68.0,-3.8,39431
2011-08-22,63365.292,4304531665,68.0,69.3,66.7,67.0,-1.0,25131
2011-08-23,110545.142,7253249183,67.0,67.3,64.3,66.0,-1.0,43528
2011-08-24,88078.535,5785066354,66.1,66.8,64.8,64.8,-1.2,35358
2011-08-25,73234.529,4629727998,64.8,65.0,61.5,61.8,-3.0,33249
2011-08-26,57298.511,3668814515,62.3,64.8,62.3,64.2,2.4,24780
2011-08-29,37064.327,2385764244,64.0,65.3,63.3,64.2,0.0,16935
2011-08-30,43862.205,2986674928,68.4,68.6,66.6,68.6,4.4,16439
2011-08-31,127676.382,9141670321,70.0,73.3,69.9,73.3,4.7,50035
