date,volume,turnover,open,high,low,close,change,transaction
2015-12-01,38201.571,3259679297,85.1,86.0,84.5,86.0,2.0,13875
2015-12-02,20895.883,1788756127,86.1,86.2,85.1,85.7,-0.3,9530
2015-12-03,14450.07,1226437450,84.6,85.3,84.6,84.7,-1.0,7620
2015-12-04,20520.063,1725826810,84.2,84.4,83.8,84.2,-0.5,8460
2015-12-07,19528.912,1662521802,84.6,85.8,84.6,84.7,0.5,8446
2015-12-08,24909.273,2094142510,84.9,84.9,83.9,83.9,-0.8,9893
2015-12-09,20179.456,1685331013,83.9,84.3,83.2,83.3,-0.6,8699
2015-12-10,29670.293,2456073460,83.0,83.3,82.5,82.9,-0.4,12323
2015-12-11,37343.349,3109952200,83.9,84.0,82.8,83.1,0.2,12488
2015-12-14,41451.457,3352411411,81.0,81.3,80.2,80.8,-2.3,18929
2015-12-15,51309.424,4110217407,80.9,81.3,79.6,80.0,-0.8,23177
2015-12-16,30970.728,2485320206,81.5,81.5,79.8,80.2,0.2,14228
2015-12-17,27078.038,2202248163,80.5,82.4,80.2,82.4,2.2,12418
2015-12-18,29887.332,2427897690,81.4,81.7,80.9,81.2,-1.2,9592
2015-12-21,17792.188,1441538823,80.5,82.0,80.3,81.4,0.2,7334
2015-12-22,18412.58,1488918285,81.4,81.7,80.5,80.7,-0.7,8015
2015-12-23,18028.243,1466742122,81.0,81.7,80.8,81.3,0.6,7304
2015-12-24,11630.742,949895215,81.7,81.9,81.4,81.6,0.3,5579
2015-12-25,7989.881,650326356,81.5,81.8,81.1,81.6,0.0,4063
2015-12-28,12508.611,1017461666,81.5,81.8,81.0,81.0,-0.6,5826
2015-12-29,18037.137,1457934197,81.0,81.2,80.6,80.7,-0.3,6638
2015-12-30,14245.596,1152238876,81.1,81.2,80.6,80.9,0.2,5427
2015-12-31,13764.229,1112123549,80.9,81.2,80.4,80.8,-0.1,4554
