date,volume,turnover,open,high,low,close,change,transaction
2015-02-02,30256.207,2609671818,87.2,87.3,85.8,86.5,-0.2,11629
2015-02-03,24087.792,2102157395,86.5,87.8,86.3,87.4,0.9,10478
2015-02-04,36083.976,3168896579,87.7,88.4,87.5,87.5,0.1,12739
2015-02-05,20542.159,1789046541,87.6,87.6,86.8,87.3,-0.2,7868
2015-02-06,17169.148,1498692494,87.7,87.7,86.8,87.3,0.0,7612
2015-02-09,16533.126,1440316062,87.4,87.4,86.9,87.0,-0.3,7246
2015-02-10,37200.123,3196282013,86.5,86.7,85.5,85.5,-1.5,17647
2015-02-11,42617.033,3621198415,85.0,85.5,84.7,84.8,-0.7,19735
2015-02-12,40774.161,3485381753,85.2,86.4,84.5,86.2,1.4,17786
2015-02-13,28335.354,2439563444,86.0,86.4,85.7,85.8,-0.4,12461
2015-02-24,58555.34,5046339202,86.1,86.8,85.8,85.8,0.0,19668
2015-02-25,27641.993,2378511938,85.8,86.5,85.5,86.3,0.5,12469
2015-02-26,45547.24,3964463308,86.5,87.7,86.1,87.1,0.8,17708
